codice;asset
ISCI328;Azionari Africa
ISCI329;Azionari Africa e Medio Oriente
ISCI2;Azionari America Latina - Large & Mid Cap
ISCI4;Azionari Area Euro - Large & Mid Cap
ISCI5;Azionari Area Euro - Large & Mid Cap Value
ISCI6;Azionari Area Euro - Mid & Small Cap
ISCI8;Azionari Asia Pacifico (Mercati Emergenti e Sviluppati escl. Giappone)
ISCI9;Azionari Asia Pacifico (Mercati Emergenti e Sviluppati escl. Giappone) - Growth
ISCI10;Azionari Asia Pacifico (Mercati Emergenti e Sviluppati escl. Giappone) - Value
ISCI11;Azionari Asia Pacifico (Mercati Emergenti e Sviluppati)
IBSC520;Azionari Asia Pacifico (Mercati Emergenti e Sviluppati escl. Giappone) Eur Hedged
ISCI14;Azionari Asia Pacifico (Mercati Sviluppati)
ISCI7;Azionari Asia Pacifico - Mid & Small Cap
ISCI25;Azionari Europa (Mercati Emergenti e Sviluppati)
ISCI26;Azionari Europa (Mercati Emergenti esclusa Russia)
ISCI27;Azionari Europa (Mercati Emergenti)
ISCI28;Azionari Europa (Mercati Sviluppati escl. Regno Unito) - Large & Mid Cap
ISCI29;Azionari Europa (Mercati Sviluppati escl. Regno Unito) - Mid & Small Cap
ISCI30;Azionari Europa (Mercati Sviluppati) - Large & Mid Cap
ISCI31;Azionari Europa (Mercati Sviluppati) - Large & Mid Cap Growth
ISCI32;Azionari Europa (Mercati Sviluppati) - Large & Mid Cap Value
ISCI33;Azionari Europa (Mercati Sviluppati) - Mid & Small Cap
ISCI34;Azionari Europa (Mercati Sviluppati) - Mid & Small Cap Growth
ISCI251;Azionari Giappone - Euro Hedged
ISCI40;Azionari Giappone - Large & Mid Cap Growth
ISCI41;Azionari Giappone - Large & Mid Cap Value
ISCI45;Azionari Globali (Mercati Emergenti e Sviluppati) - Large & Mid Cap Growth
ISCI46;Azionari Globali (Mercati Emergenti e Sviluppati) - Large & Mid Cap Value
ISCI48;Azionari Globali (Mercati Emergenti) - Large & Mid Cap Growth
ISCI49;Azionari Globali (Mercati Emergenti) - Large & Mid Cap Value
ISCI62;Azionari Italia - Large & Mid Cap Value
ISCI71;Azionari Regno Unito - Large & Mid Cap Value
ISCI325;Azionari Settoriali - Agricoltura
ISCI76;Azionari Settoriali - Beni di Consumo Secondari (incl. Beni di Lusso)
ISCI74;Azionari Settoriali - Beni di Consumo Primari
ISCI80;Azionari Settoriali - Energia
ISCI81;Azionari Settoriali - Energie Alternative
ISCI85;Azionari Settoriali - Finanza (Globale)
ISCI86;Azionari Settoriali - Immobiliare (America)
ISCI87;Azionari Settoriali - Immobiliare (Asia Pacifico)
ISCI88;Azionari Settoriali - Immobiliare (Europa)
ISCI92;Azionari Settoriali - Informatica e Tecnologia (Globale)
ISCI693;Azionari Settoriali - Robotica (Globale)
ISCI94;Azionari Settoriali - TMT (Informatica, Telecom., Media)
ISCI110;Azionari Usa - Large & Mid Cap
ISCI111;Azionari Usa - Large & Mid Cap Growth
ISCI112;Azionari Usa - Large & Mid Cap Value
ISCI113;Azionari Usa - Mid & Small Cap
ISCI114;Azionari Usa - Mid & Small Cap Growth
ISCI115;Azionari Usa - Mid & Small Cap Value
ISCI326;Commodities
ISCI129;Monetari Euro
ISCI197;Obbligazionari Euro Hedged Globali - High Yield
ISCI193;Obbligazionari Euro Hedged Mercati Emergenti
ISCI194;Obbligazionari Euro Hedged Usa
ISCI196;Obbligazionari Euro Hedged Usa Corporate High Yield
ISCI132;Obbligazionari America Latina
ISCI143;Obbligazionari Area Euro - Governativi
ISCI205;Obbligazionari Area Euro - Governativi (Oltre 10 anni)
ISCI144;Obbligazionari Area Euro - Governativi (1-3 Anni)
ISCI204;Obbligazionari Area Euro - Governativi (3-5 Anni)
ISCI145;Obbligazionari Area Euro - Governativi (5-10 Anni)
ISCI134;Obbligazionari Asia Pacifico
ISCI679;Obbligazionari Convertibili Globali - Euro Hedged
ISCI137;Obbligazionari Convertibili Globali
ISCI140;Obbligazionari Euro - Corporate
ISCI152;Obbligazionari Europa (Mercati Emergenti)
ISCI150;Obbligazionari Europa - Corporate e Governativi High Yield
ISCI160;Obbligazionari Globali - Corporate e Governativi High Yield
ISCI199;Obbligazionari Globali (Mercati Emergenti) - Corporate
ISCI164;Obbligazionari Globali (Mercati Sviluppati) - Corporate High Yield
ISCI163;Obbligazionari Globali - Governativi
ISCI158;Obbligazionari Globali - Inflation Linked
ISCI830;Obbligazionari USA - Corporate
ISCI174;Obbligazionari USA - Governativi
ISCI175;Obbligazionari USA - Governativi (Breve-Medio Term.)
ISCI176;Obbligazionari USA - Governativi (Medio-Lungo Term.)
ISCI156;Obbligazionari Yen Giapponese
